anonyme_Source,anonyme_Target,Weight
106042,75842,5
80196,82402,5
63303,84978,16
13063,27861,10
9959,22310,16
74921,22602,37
62776,91756,12
44748,17264,6
2671,67232,10
63948,63948,6
23245,1054,17
22074,12511,7
85995,9807,5
60990,101337,8
105269,3844,16
112993,12264,5
37568,95660,6
67852,107461,5
111427,82784,159
79184,86428,29
25560,28555,6
15176,34300,7
2671,38524,47
34360,32770,6
82765,23964,18
97233,37757,5
67630,67630,7
28153,59581,5
61609,8032,15
73304,26415,15
18831,14762,5
105494,1769,5
97242,65374,8
35758,48231,13
91694,60729,12
109358,23003,19
36048,73860,14
2671,34927,10
60373,53067,13
95807,109173,19
60477,86260,8
94174,97972,12
30205,43530,79
89408,1769,6
47818,59993,14
74446,63242,6
91335,29285,7
69182,101337,5
17523,79343,9
57124,10900,8
90280,54370,8
5749,12511,6
16674,40644,10
66017,110482,6
51742,12264,5
1381,10900,79
105444,103436,6
59392,59392,28
58917,25324,5
56975,3869,10
92676,23003,6
100429,100886,41
40946,86428,14
97338,36746,5
71953,25816,5
49373,7531,9
112617,20683,7
45468,77351,6
52285,96357,71
96359,107121,6
96747,84624,17
11631,37757,50
57468,29059,7
11214,70932,5
91233,78398,18
13001,27861,6
58747,67369,7
84333,93059,10
78822,48935,10
27377,4400,6
92369,82312,6
37260,83601,6
70445,93059,31
61553,108352,16
5060,70486,5
83503,40292,5
32680,88096,7
64753,37840,12
111095,105510,11
88843,78398,40
96548,43084,12
105358,103436,20
40962,60421,9
17808,62194,7
90306,29977,6
66396,23868,11
71365,87980,21
37733,2635,13
40219,29977,5
86610,103436,5
61761,107965,11
104018,321,80
9272,29421,12
19177,14144,15
33026,12511,10
81960,13625,6
109057,47859,5
26909,109555,6
88065,12511,16
11554,5190,5
81222,24361,6
25364,27861,9
18089,125,5
81813,24361,11
16704,108553,52
565,20600,5
21778,83824,9
22198,102454,22
67892,87614,5
14088,7272,10
29368,66474,5
44932,112826,54
45626,105984,16
39686,94949,5
35787,69253,6
61129,79912,7
104045,64341,5
15426,107965,6
7114,34296,7
50478,2661,5
77930,4189,14
56472,89205,5
77472,109710,38
63082,112604,36
20802,70974,7
71131,83824,16
83616,78147,7
78492,85619,16
10530,82784,26
98054,36415,35
2696,99380,28
56140,30909,8
101693,87980,50
111648,58885,9
15873,46192,10
103953,82030,6
68436,68065,9
98949,111432,6
48766,70974,8
6982,25150,6
109501,85619,9
55064,41934,7
36490,57394,5
4663,54494,26
64089,96924,11
32128,103436,28
46548,34690,6
15011,6738,7
101353,84624,24
23086,37945,5
16373,16373,7
26297,83545,31
24334,1592,6
97343,19015,15
43849,43530,34
38849,74661,73
67906,86428,12
108024,43467,5
14302,43467,5
67,72302,40
73024,21475,7
11954,69253,14
55759,53483,15
62713,103436,19
50360,398,22
74041,86428,8
27778,32706,5
43311,12511,5
29900,8728,12
91135,97972,10
17109,82402,10
48446,66095,19
82182,40913,34
44638,94352,11
66066,35203,8
42987,8533,8
73391,29977,22
95344,7439,8
104498,33150,26
91446,9181,5
109955,7463,10
79393,109683,5
78250,4965,10
67883,70974,20
76288,8379,23
72672,53067,48
25416,63799,12
29910,6436,6
108209,10610,5
40514,103436,20
23782,12750,6
39736,77589,8
24856,112163,5
87859,37757,14
28205,67562,5
27088,72302,10
14867,8376,5
80799,78398,14
83316,97972,6
78470,103946,12
5250,105458,7
109467,61673,6
80315,52419,7
67583,103436,5
92835,100033,6
107323,29977,13
15332,68027,6
91135,69394,21
81301,70974,5
112222,29977,8
13799,107965,30
74278,86428,6
103212,23196,8
29732,571,6
94426,25324,9
84095,12264,7
8283,35796,9
97083,24064,7
46355,26792,7
40568,45715,19
108762,66048,6
71830,2635,9
83824,47559,12
52881,78398,29
70339,51897,23
56008,37757,21
15697,69253,11
55195,104156,6
64792,44610,9
23310,64386,5
13023,86428,8
55847,77444,6
39952,86978,6
22623,59993,7
29164,56254,10
81999,24605,52
25017,12264,5
101214,45302,8
76570,87980,6
36963,45802,8
110628,29497,5
33810,86428,6
111688,89251,5
23824,102612,27
73053,105758,8
59335,98623,6
74575,86428,6
14940,29977,24
32370,83375,7
43661,75975,6
91618,82273,5
111296,43550,7
85465,50549,5
111882,8728,23
79554,78398,7
98276,68950,9
94346,84624,9
64417,85645,6
64808,79139,7
22081,29977,7
12209,23828,36
81977,1836,5
107343,15001,30
64087,57486,5
47153,11275,5
70559,15372,5
103330,35365,6
191,7844,6
25742,77278,9
100551,86428,5
89045,56316,11
21956,77860,20
109521,109521,20
52609,101895,21
48335,100076,8
21667,24605,20
77751,27861,17
59905,4965,6
85360,81427,5
108922,12264,6
9369,102346,51
37913,56969,5
68863,20723,7
16205,78901,5
103175,98640,6
62933,60923,24
2662,85645,14
68616,37757,13
99519,89598,5
48006,23196,10
78912,111101,7
99379,111656,8
69761,69761,17
102030,112826,5
62783,19752,6
85203,72615,8
54669,30280,11
56979,105984,6
32420,64386,5
42723,30280,10
105339,97778,10
5985,70367,8
46119,19898,5
61714,4965,15
1350,30210,5
108145,69253,13
747,35594,7
63103,32706,11
13844,93059,44
59702,22877,5
24442,98165,5
70258,101002,8
40750,19469,14
86845,82319,11
96346,107281,5
93436,43530,5
7567,102346,5
108646,23092,8
92117,30523,6
97242,10289,9
33498,106891,6
24242,34264,10
110044,103436,9
14793,4965,12
14614,55056,13
54226,52113,5
79908,13981,6
73083,82452,5
44578,19563,7
61531,75138,7
61766,14754,5
7742,42298,9
14812,86428,14
37926,39956,7
67137,52736,7
60910,57453,14
16153,84624,45
34432,70974,17
106086,30849,5
107362,105654,6
16941,84624,6
97086,98181,16
111812,5986,9
110815,28793,9
35233,66614,14
13002,17205,7
76801,108813,6
32177,59993,8
37920,96357,19
38380,29421,10
19177,28793,10
60073,89602,7
65817,62789,6
26995,65907,5
37219,63242,8
38954,105335,7
83507,25013,11
56040,86348,5
31842,84624,22
37086,107965,15
109151,36602,6
88611,3722,6
94506,8728,7
107346,2308,14
15057,45513,23
56270,82452,9
111632,24006,5
81525,83230,7
28243,856,22
111680,22341,11
69959,25013,51
5144,8379,5
73643,29977,13
26142,13278,7
59066,11834,6
95151,79586,6
72100,77207,7
30452,7272,6
65196,69253,12
64533,104914,9
41483,64173,10
35612,3559,18
46533,46533,62
110759,22317,6
96346,43649,12
81777,6980,6
103874,4881,9
8627,10696,6
77867,107208,12
48349,59993,5
39869,4881,18
7439,92522,5
96821,107965,5
2502,25324,5
43661,53067,6
40067,70974,13
103353,95837,5
108458,109173,7
52687,86428,22
96029,12511,14
108870,8568,14
63001,57453,10
72111,57893,7
38187,17205,6
83813,71516,6
16078,71037,5
108763,11550,6
86531,3634,6
112989,29497,10
49019,12750,10
109322,24361,5
80315,71281,6
36617,45715,7
1908,110262,5
95420,856,16
60731,50334,5
34100,25013,5
15216,15248,17
11026,28951,11
22332,82350,5
87727,22317,5
69744,38261,5
45935,3175,45
93977,8533,6
61952,85105,10
61452,19759,7
25507,12750,5
105953,25175,6
91589,103436,11
16788,29977,6
102641,112503,6
24197,102612,7
110815,52736,5
23993,22877,6
35733,67219,17
46600,7844,23
39338,107121,11
55689,67369,6
75158,78398,5
92561,62431,6
96114,37103,6
21056,108460,9
97541,94705,23
83886,112604,5
36058,102214,8
41770,25658,5
52042,96600,6
7900,91790,13
97719,15001,7
30645,102346,8
62505,71244,5
32163,24605,13
56067,58817,6
33292,52544,6
33013,112826,6
6391,54821,5
27538,28555,12
67340,54805,5
82265,70974,12
47614,35594,5
59283,35594,6
780,66474,9
21617,28099,6
