anonyme Id,pro-vac
0,1
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,0
413,0
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,1
422,1
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,0
540,0
541,1
542,0
543,0
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,0
581,1
582,1
583,0
584,1
585,1
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,0
606,0
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,0
630,1
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,1
639,0
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,1
650,1
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,1
660,1
661,0
662,0
663,1
664,1
665,0
666,1
667,1
668,1
669,0
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,0
702,0
703,1
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,0
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,1
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,0
742,0
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,0
763,0
764,1
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,0
773,0
774,1
775,1
776,1
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,1
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,1
808,1
809,0
810,0
811,1
812,1
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,1
821,0
822,0
823,0
824,0
825,1
826,0
827,0
828,0
829,0
830,0
831,0
832,1
833,0
834,1
835,0
836,1
837,0
838,1
839,0
840,0
841,1
842,1
843,1
844,0
845,0
846,0
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,1
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,1
878,0
879,1
880,0
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,1
891,0
892,1
893,1
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,1
918,1
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,0
927,0
928,1
929,0
930,1
931,0
932,0
933,1
934,1
935,1
936,1
937,0
938,0
939,1
940,0
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,1
949,0
950,0
951,1
952,0
953,0
954,1
955,0
956,1
957,0
958,1
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,1
974,0
975,1
976,1
977,0
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,0
986,1
987,1
988,1
989,1
990,0
991,1
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,0
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,1
1026,1
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
1061,0
1062,1
1063,1
1064,1
1065,0
1066,1
1067,0
1068,0
1069,1
1070,1
1071,0
1072,1
1073,1
1074,1
1075,0
1076,1
1077,0
1078,0
1079,1
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,1
1088,1
1089,1
1090,0
1091,1
1092,1
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,0
1100,0
1101,1
1102,0
1103,0
1104,0
1105,1
1106,0
1107,1
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,1
1126,1
1127,1
1128,0
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,0
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,1
1150,0
1151,0
1152,1
1153,0
1154,1
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,1
1166,1
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,1
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,0
1186,1
1187,0
1188,0
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,0
1199,1
1200,1
1201,0
1202,1
1203,1
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,1
1211,1
1212,0
1213,0
1214,0
1215,0
1216,1
1217,0
1218,0
1219,1
1220,1
1221,0
1222,0
1223,0
1224,1
1225,1
1226,1
1227,0
1228,1
